model,cond,pid,eos,n_new,coverage,n_stmts,tok_cross,ast4,ast8,ast16,kind,p_stmt,cycles,unit,d_stmt,L,D,tail_tokmin,line_p,line_L,line_D,literal,L_eff,D_eff,anyaxis,degen
gpt2,p95,temp,False,600,0.661,16,,531,303,584,strict,1,6.0,statement,1,31,18,0.406,,,,N,31,18,True,True
gpt2,p95,reverse_words,False,600,0.302,8,,501,594,,strict,1,6.0,statement,1,21,13,0.406,,,,N,21,13,True,True
gpt2,p95,anagram,False,600,0.961,25,,193,262,414,quasi,2,8.0,block,2,25,13,0.312,,,,N,25,13,True,True
gpt2,p95,pascal,False,600,0.2,1,217,,,,,,,,,,,,,,,,,,False,False
gpt2,p95,chunk,False,600,1.0,2,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,merge_sort,True,422,1.0,33,,,230,,quasi,3,4.0,block,2,33,29,0.781,,,,N,33,29,True,False
qwen,t08,binary_search,True,321,1.0,38,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,fibonacci,True,37,1.0,6,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,parse_csv,True,212,1.0,25,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,word_freq,True,162,1.0,13,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,flatten,True,76,1.0,7,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,stack_class,True,350,1.0,33,,163,337,,quasi,1,6.0,statement,1,21,18,0.562,,,,N,21,18,True,False
qwen,t08,lru_cache,True,572,1.0,60,,470,564,570,quasi,2,7.0,block,2,18,11,0.375,,,,N,18,11,True,False
qwen,t08,prime_sieve,True,229,1.0,24,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,roman,False,600,1.0,25,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,balanced,True,75,1.0,12,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,transpose,True,157,1.0,20,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,rle,True,130,1.0,16,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,dedup,True,81,1.0,10,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,gcd,True,441,1.0,36,,161,209,341,strict,3,3.0,block,2,37,26,0.656,,,,N,37,26,True,False
qwen,t08,quicksort,False,600,1.0,72,,,544,565,quasi,2,8.0,block,2,13,11,0.406,,,,N,13,11,True,True
qwen,t08,tree_walk,True,209,1.0,30,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,json_walk,True,54,1.0,10,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,email,True,41,1.0,8,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,temp,True,235,1.0,28,,,,213,,,,,,,,,,,,,,,False,False
qwen,t08,reverse_words,True,31,1.0,5,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,anagram,True,23,1.0,5,,,,,,,,,,,,,,,,,,,False,False
