model,cond,pid,eos,coverage,n_stmts,kind,p_stmt,cycles,unit,literal,d_stmt,L_tok,D_tok,pred_floor,tail_tokmin,tok_min,line_p,line_L,L_eff,anyaxis,degen
qwen,greedy,reverse_words,True,1.0,6.0,,,,,,,,,,,,,,,False,False
qwen,greedy,anagram,True,1.0,9.0,,,,,,,,,,,0.625,,,,False,False
qwen,greedy,pascal,True,1.0,18.0,,,,,,,,,,,0.594,,,,False,False
qwen,greedy,chunk,True,1.0,4.0,,,,,,,,,,,,,,,False,False
gpt2,greedy,merge_sort,False,0.682,45.0,strict,2.0,21.5,block,Y,2.0,28.0,14.0,0.438,0.438,0.438,3.0,28.0,28.0,True,True
gpt2,greedy,binary_search,False,0.516,32.0,strict,1.0,30.0,statement,Y,1.0,20.0,16.0,0.5,0.5,0.5,2.0,20.0,20.0,True,True
gpt2,greedy,fibonacci,False,0.946,0.0,,,,,Y,,,,,,0.469,2.0,23.0,23.0,True,True
gpt2,greedy,parse_csv,False,0.511,24.0,strict,1.0,23.0,statement,Y,1.0,27.0,22.0,0.688,0.688,0.688,2.0,27.0,27.0,True,True
gpt2,greedy,word_freq,False,0.966,54.0,strict,2.0,27.0,function,Y,2.0,23.0,19.0,0.594,0.594,0.594,1.0,23.0,23.0,True,True
gpt2,greedy,flatten,False,0.982,56.0,strict,2.0,28.0,function,Y,2.0,22.0,18.0,0.562,0.562,0.562,2.0,22.0,22.0,True,True
gpt2,greedy,stack_class,False,0.984,62.0,strict,1.0,58.0,statement,Y,1.0,10.0,8.0,0.25,0.25,0.25,1.0,10.0,10.0,True,True
gpt2,greedy,lru_cache,False,0.979,46.0,strict,1.0,42.0,statement,Y,1.0,14.0,10.0,0.312,0.312,0.312,1.0,14.0,14.0,True,True
gpt2,greedy,prime_sieve,False,0.98,48.0,strict,3.0,16.0,function,Y,3.0,39.0,29.0,,0.688,0.688,3.0,39.0,39.0,True,True
